ko,en
나는 이러한 활동을 바탕으로 꼭 나의 꿈을 이루기 위해 더욱 노력할 것이에요.,"With these activities, I will try harder to achieve my dream."
그 자전거의 유일한 장신구는 종이었어요.,The only accessory on the bicycle was a paper.
내가 나라는 게 저주스러워.,It's a pity that I'm in trouble.
아울러 주계약 수정본도 빨리 보내 주시면 감사하겠습니다.,We would be thankful if you could send us a revised copy of the contract as soon as possible.
달콤한 사탕수수 리얼사운드 시식 방송.,The real sound eating show of sweet potato soup.
1월 12-13일이라는 마감일의 기준이 어떻게 산정된 건가?,How is the standard of the deadline for January 12-13th calculated?
내가 신입생이 된 기분입니다.,I feel like a freshman.
당신의 아버지와 형도 여기에 가입하라고 하세요.,Please tell your father and brother to join here.
그는 업무 이해도가 우수합니다.,He is good at understanding work.
단말기를 수령한 후 시스템의 기능을 확인하시려면 아래 정보로 이용하시면 됩니다.,You can use the information below to check the function of the system after receiving the terminal.
따라서 아래와 같이 준비하여 주시길 부탁드립니다.,This is why I ask you to prepare as follows.
여기로 가는 방법을 알려주세요.,Please tell me how to get here.
어떤 남자는 롤렉스 시계를 차고 다녀요.,People wear Rolex watches.
의사에게는 환자를 살릴 의무가 있는 것이지 그의 목숨을 결정할 권한은 없다고 생각합니다.,"The doctor is supposed to save the patient, but he is not supposed to decide his fate."
당신 이제 쉬어도 되겠네요.,You can take a rest now.
그가 왜 오지 않았는지 누구나 짐작할 수 있습니다.,People can guess why he didn't come.
달걀은 생명의 원천이라고 여겨지기 때문이에요.,This is because eggs are considered as the source of life.
우리는 회신은 받지 못했어요.,We didn't get a reply.
그럼 이게 거짓말이지 왜 거짓말이 아니야?,"This is a lie, why is it not?"
이건 사람의 성향을 크게 8가지로 분류하고 8개의 행성 캐릭터를 통해 상징화됐습니다.,It categorizes human tendencies into 8 categories and symbolizes them through 8 planet characters.
운전 중에 왼쪽으로 갑니다.,Go left while driving.
우리가 이 돈을 당신한테 보내야 하는지 업체에 다시 송금해야 할지 확인 부탁합니다.,Please confirm whether we should send this money to you or transfer it to the company again.
실례지만 세포라에 가는 길 좀 알려 주실 수 있으세요?,I'm sorry but could you tell me the way to the Celula?
그 지역은 카카오톡을 할 수 없는 지역이었어.,It was a region where you couldn't use Kakao Talk.
나의 손은 이제 자유입니다.,The hands of my hands are free now.
이것으로 이 회사가 기독교 신앙에 헌신한다는 것을 보여준다.,This shows that this company is devoted to the Christian faith.
나는 방금도 그 음식점 지나갔어요.,I just passed by the restaurant.
그리고 시리얼 번호와 추가로 확인된 수량이 있는지 알려주기 바랍니다.,Please tell us the serial number and the additional quantity that has been confirmed.
여행은 사람을 보는 안목을 키워 줍니다.,The trip raises your eye for people.
너는 토요일 또는 일요일에 만날 수 있니?,Can we meet on Saturday or Sunday?
이 꿈이 결정되기까지는 오랜 시간이 걸렸습니다.,It took a long time for this dream to be decided.
나는 올해 여름에 친구와 봉사를 했습니다.,I volunteered with my friend this summer.
그래서인지 아이의 성격이 소극적으로 변했어요.,"Like that, the child's personality has changed."
뚱뚱한 스태프가 일을 하지 않겠다고 했어요.,The fat clerk said he wouldn't work.
저는 한국 얀센에서 진심을 바탕으로 희망을 전달하는 영업사원이 되겠습니다.,I will be a salesperson who delivers hope based on sincerity at Yansen in Korea.
나는 오늘 커피 한 잔도 못 마셨어요.,I couldn't even have a cup of coffee today.
내가 어디에서 지내는 게 좋을까요?,Where should I stay?
1km 더 가면 목적지에 도착합니다.,You will get to the destination after 1km.
그녀는 든든한 남자 친구가 생겼습니다.,She has a strong boyfriend.
그렇게 되면 제가 빠른 해결이 될 거 같아요.,I think I can solve it quickly if I do so.
미국 가서 공부 열심히 하고 돌아와.,You should study hard and come back to America.
우리가 결혼해서 문제없이 생활을 할 수가 있을까?,How can we live without any problems after we get married?
네 답장이 늦어서 나는 자야겠어.,I have to go to bed because your answer is late.
나는 선생님의 말씀 중에 그게 제일 기억나.,I remember that the most among the teacher's words.
두 가지 색상의 자재라서 색상 제한이 있습니다.,"It is a material of two colors, so there is a color limit."
나는 드디어 진주에 도착했어요.,I finally arrived in Jinju.
그 은행은 한국에 없어서 현금으로 계산해야 해.,"The bank is not in Korea, so I have to pay in cash."
"네, 당신이 거짓말하지 않은 것은 정말 용감했어요.","Yes, it was courageous that you didn't lie."
그것은 진짜 좋은 생각이에요.,That's a really good idea.
"음, 뒤쪽 9홀이 앞쪽 9홀보다 더 예쁜데요.","Yes, the back of the 9 holes is prettier than the front one."
다행히도 꽃을 보니까 기분이 좋아졌어.,"Fortunately, I felt better when I saw the flowers."
8분씩 4개의 피리어드로 나누어 경기를 치릅니다.,The game will be played in 4 fittings for 8 minutes each.
여기 볼륨 좀 높여 주세요.,Please raise the volume here.
당신은 나에게 정말 너무하네요.,You are too much for me.
나는 당신이 집에 있는 줄 알았어요.,I thought you were at home.
우리의 희망이 되살아났습니다.,The hope of ours is reviving.
당신에게 속도위반 딱지를 떼겠어요.,I'll give you a speeding ticket.
우리에게 팩 킹사이즈 및 중량을 알려 주세요.,Please tell us the packing size and weight.
당신을 사랑해서 미안해요.,I'm sorry for loving you.
당신의 여행 목적이 무엇입니까?,What is your travel goal?
그러나 우리는 계속해서 같은 일을 하고 있고 금방 예전처럼 안정적인 모습으로 돌아갈 것이에요.,But we are continuing to do the same thing and we will soon be back to the stable state.
나는 제주도에서 수영도 마음껏 하고 아쿠아리움도 가서 좋았다.,It was good to swim in Jeju Island and go to the aquarium.
나는 생각보다 잘 지내고 있어요.,I'm doing better than I thought.
우리 서로 크리스마스에 선물을 교환하면 어떨까요?,How about we exchange presents for Christmas?
나는 내 용돈을 꾸준히 모아서 비용을 충당했어.,I kept saving my pocket money to cover the expense.
나는 밸런타인데이를 부정적으로 생각하는 사람 중 한 명입니다.,I'm one of the people who think of Valentine's Day negatively.
우선 영문 회사 소개서를 보내 드립니다.,"First of all, I am sending you the introduction of the English company."
이 옷은 보풀이 너무 잘 일어나요.,This cloth makes too much sputum.
기회가 된다면 다음에 다시 해보고 싶다.,"If I have a chance, I would like to try it again."
이것들은 전부 나한테서 나온 거야.,This is all from me.
이것은 충격을 받아서 깨진 것입니다.,This is broken because of the shock.
이번 선적에 대한 단가를 69 USD로 수정해주시길 요청합니다.,We ask you to revise the unit price for this shipment to 69 USD.
올해 프랑스에서도 매미 우는 소리를 들었나요?,Did you hear the sound of mace crying in France this year too?
속성이 적게 관측되어 있는 행을 제거합니다.,It removes the line that has a small sensitivity.
우리의 상황이 변한 것이 아니라 당신의 상황이 변한 거에요.,It's not our situation but yours.
"이렇게 중요한 피부를 세탁물처럼 합성 계면활성제로 뽀드득 씻고 있다면, 이제 멈춰야 합니다.","If you are washing your important skin like a laundry with synthetic moisturizer, you have to stop now."
위의 방법과 같이 하고 양 끝의 고리 분리 후 중간 부분의 고리 또한 분리하여 줍니다.,"With the method above, separate the ends of the rings and the middle parts of them as well."
"저는 인생 설계와 진로 첫 번째 수업을 듣게 되었고, 좋은 사람들을 만날 수 있게 되어 감사해요.",I am thankful to be able to meet good people after taking the first class about life planning and career.
